Châtillon Montrouge,Malakoff-Rue Etienne Dolet,0.5723339814511601
Malakoff-Rue Etienne Dolet,Malakoff-Plateau de Vanves,0.8617597192828197
Malakoff-Plateau de Vanves,Porte de Vanves,0.7539160875457362
Porte de Vanves,Plaisance,0.8283451350719147
Plaisance,Pernety,0.382182939091675
Pernety,Gaîté,0.6327206474199332
Gaîté,Montparnasse-Bienvenue,0.3856522693665891
Montparnasse-Bienvenue,Duroc,0.6368782370170083
Duroc,Saint-François-Xavier,0.469806853009357
Saint-François-Xavier,Varenne,0.6020605051725949
Varenne,Invalides,0.4958816457027221
Invalides,Champs-Elysées-Clémenceau,0.7249574923915855
Champs-Elysées-Clémenceau,Miromesnil,0.6909425346563128
Miromesnil,Saint-Lazare,0.6625767715782274
Saint-Lazare,Liège,0.4323471065467421
Liège,Place de Clichy,0.4088040992948383
Place de Clichy,La Fourche,0.48394293560498636
La Fourche,Brochant,0.5380412609126799
Brochant,Porte de Clichy,0.6434313951407288
Porte de Clichy,Mairie de Clichy,1.2211310550731718
Mairie de Clichy,Gabriel-Péri,1.613706534147066
Gabriel-Péri,Les Agnettes,0.9331286801401247
Les Agnettes,Asnières-Gennevilliers Les Courtilles,0.835920643452997
Saint-Lazare,Madeleine,0.6668468210314569
Madeleine,Pyramides,0.8186452486719034
Pyramides,Châtelet,1.2738880782191504
Châtelet,Gare de Lyon,2.46536638547171
Gare de Lyon,Bercy,0.6491530226929741
Bercy,Cour Saint-Emilion,0.9897167120578866
Cour Saint-Emilion,Bibliothèque-François Mitterrand,0.9052968274457267
Bibliothèque-François Mitterrand,Olympiades,0.7379787998070839
Olympiades,Saint-Lazare,6.209693354027797
